date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,temp_max_c,temp_min_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-03-04,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10774.0,9788.0,986.0,0,0,19.85,30.6,9.1,,,,0.0,bom_daily,0.417391304347826,,2.095652173913044,ALBURY,83.2,True
2024-03-05,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11170.0,10023.0,1147.0,0,0,22.35,32.8,11.9,,,,0.0,bom_daily,0.6772727272727272,,2.077272727272728,ALBURY,83.2,True
2024-03-06,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11173.0,10162.0,1011.0,0,0,25.9,36.1,15.7,,,,0.0,bom_daily,0.9863636363636364,,2.4545454545454546,ALBURY,83.2,True
2024-03-07,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11810.0,10754.0,1056.0,0,0,25.55,36.1,15.0,,,,0.0,bom_daily,0.9130434782608696,,2.8260869565217392,ALBURY,83.2,True
2024-03-08,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,13310.0,12048.0,1262.0,0,0,25.25,35.4,15.1,,,,0.0,bom_daily,0.7695652173913043,,2.5391304347826087,ALBURY,83.2,True
2024-03-09,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11517.0,10673.0,844.0,0,0,29.1,37.3,20.9,,,,0.0,bom_daily,0.6086956521739131,,2.78695652173913,ALBURY,83.2,True
2024-03-10,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10979.0,10195.0,784.0,0,0,26.950000000000003,35.1,18.8,,,,0.0,bom_daily,0.5478260869565217,,2.8782608695652177,ALBURY,83.2,True
2024-03-11,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10002.0,9256.0,746.0,0,0,26.05,35.1,17.0,,,,0.0,bom_daily,0.7043478260869565,,2.491304347826087,ALBURY,83.2,True
2024-03-12,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11333.0,10248.0,1085.0,0,0,27.6,38.2,17.0,,,,0.0,bom_daily,0.7999999999999999,,2.573913043478261,ALBURY,83.2,True
2024-03-13,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11122.0,10051.0,1071.0,0,0,26.55,34.6,18.5,,,,0.0,bom_daily,0.8608695652173913,,2.4217391304347826,ALBURY,83.2,True
2024-03-14,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11498.0,10478.0,1020.0,0,0,22.4,27.5,17.3,,,,0.6,bom_daily,0.6217391304347827,,1.952173913043478,ALBURY,83.2,True
2024-03-15,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12243.0,11076.0,1167.0,0,0,22.8,30.9,14.7,,,,0.0,bom_daily,0.2652173913043478,,2.026086956521739,ALBURY,83.2,True
2024-03-16,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9799.0,8866.0,933.0,0,0,22.45,29.2,15.7,,,,0.0,bom_daily,0.2782608695652174,,1.8608695652173912,ALBURY,83.2,True
2024-03-17,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8620.0,7841.0,779.0,0,0,21.35,29.3,13.4,,,,0.0,bom_daily,0.2304347826086956,,2.165217391304348,ALBURY,83.2,True
2024-03-18,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10665.0,9657.0,1008.0,0,0,23.05,31.4,14.7,,,,0.0,bom_daily,0.5478260869565217,,2.117391304347826,ALBURY,83.2,True
2024-03-19,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10994.0,9939.0,1055.0,0,0,27.05,34.1,20.0,,,,0.0,bom_daily,0.6608695652173913,,2.517391304347826,ALBURY,83.2,True
2024-03-20,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11432.0,10645.0,787.0,0,0,17.8,21.5,14.1,,,,13.0,bom_daily,0.3434782608695652,,1.808695652173913,ALBURY,83.2,True
2024-03-21,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11863.0,11049.0,814.0,0,0,14.85,24.0,5.7,,,,0.0,bom_daily,0.7000000000000001,,1.6869565217391302,ALBURY,83.2,True
2024-03-22,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12426.0,11641.0,785.0,0,0,17.5,26.6,8.4,,,,0.0,bom_daily,0.9521739130434782,,1.6130434782608696,ALBURY,83.2,True
2024-03-23,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9806.0,9261.0,545.0,0,0,19.5,27.9,11.1,,,,0.0,bom_daily,0.8391304347826087,,2.4173913043478263,ALBURY,83.2,True
2024-03-24,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8866.0,8401.0,465.0,0,0,16.4,25.4,7.4,,,,0.0,bom_daily,0.5347826086956522,,2.1608695652173915,ALBURY,83.2,True
2024-03-25,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10978.0,10056.0,922.0,0,0,17.95,27.9,8.0,,,,0.0,bom_daily,1.0043478260869565,,1.6782608695652177,ALBURY,83.2,True
2024-03-26,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11364.0,10222.0,1142.0,0,0,19.4,29.3,9.5,,,,0.0,bom_daily,1.047826086956522,,2.126086956521739,ALBURY,83.2,True
2024-03-27,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12155.0,10742.0,1413.0,0,0,18.75,28.4,9.1,,,,0.0,bom_daily,1.0869565217391304,,2.4173913043478263,ALBURY,83.2,True
2024-03-28,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,14266.0,12533.0,1733.0,0,0,28.5,28.5,,,,,0.0,bom_daily,0.9565217391304348,,2.534782608695652,ALBURY,83.2,True
2024-03-29,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11804.0,10663.0,1141.0,1,0,,,,,,,0.0,bom_daily,0.6956521739130435,,2.9869565217391307,ALBURY,83.2,True
2024-04-01,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11040.0,10055.0,985.0,1,0,23.9,33.9,13.9,,,,0.0,bom_daily,0.3826086956521739,,3.178260869565217,ALBURY,83.2,True
2024-04-02,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12231.0,10843.0,1388.0,0,0,17.75,20.0,15.5,,,,8.8,bom_daily,0.2782608695652174,,2.343478260869565,ALBURY,83.2,True
2024-04-03,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11769.0,10586.0,1183.0,0,0,15.7,22.0,9.4,,,,0.0,bom_daily,0.7809523809523808,,1.4619047619047618,ALBURY,83.2,True
2024-04-04,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12360.0,11178.0,1182.0,0,0,16.45,25.2,7.7,,,,0.0,bom_daily,0.8695652173913043,,1.6391304347826088,ALBURY,83.2,True
2024-04-05,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12930.0,11525.0,1405.0,0,0,18.25,23.9,12.6,,,,0.0,bom_daily,0.5263157894736842,,1.1526315789473685,ALBURY,83.2,True
2024-04-08,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10962.0,9846.0,1116.0,0,0,17.1,23.1,11.1,,,,0.0,bom_daily,0.5857142857142856,,2.185714285714286,ALBURY,83.2,True
2024-04-09,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11685.0,10505.0,1180.0,0,0,15.05,20.4,9.7,,,,0.0,bom_daily,0.391304347826087,,1.5782608695652176,ALBURY,83.2,True
2024-04-10,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11381.0,10232.0,1149.0,0,0,14.5,21.3,7.7,,,,0.0,bom_daily,0.5782608695652174,,1.3434782608695652,ALBURY,83.2,True
2024-04-11,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11511.0,10231.0,1280.0,0,0,15.05,22.6,7.5,,,,0.0,bom_daily,0.7565217391304347,,1.2391304347826086,ALBURY,83.2,True
2024-04-12,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,12050.0,10784.0,1266.0,0,0,13.25,21.6,4.9,,,,0.0,bom_daily,0.8739130434782609,,1.6391304347826088,ALBURY,83.2,True
2024-04-13,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9652.0,8834.0,818.0,0,0,13.95,21.8,6.1,,,,0.0,bom_daily,0.8347826086956521,,2.030434782608696,ALBURY,83.2,True
2024-04-14,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,8555.0,7967.0,588.0,0,0,13.95,22.4,5.5,,,,0.0,bom_daily,0.7000000000000001,,1.9956521739130435,ALBURY,83.2,True
2024-04-15,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10549.0,9463.0,1086.0,0,0,15.8,23.7,7.9,,,,0.0,bom_daily,0.991304347826087,,1.965217391304348,ALBURY,83.2,True
2024-04-16,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11134.0,10005.0,1129.0,0,0,14.75,23.8,5.7,,,,0.0,bom_daily,0.9565217391304348,,1.808695652173913,ALBURY,83.2,True
2024-04-17,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10621.0,9573.0,1048.0,0,0,14.45,22.9,6.0,,,,0.0,bom_daily,1.0608695652173912,,1.4782608695652173,ALBURY,83.2,True
2024-04-18,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10963.0,9843.0,1120.0,0,0,13.95,20.6,7.3,,,,0.0,bom_daily,0.6260869565217392,,1.747826086956522,ALBURY,83.2,True
2024-04-19,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,11228.0,9963.0,1265.0,0,0,16.1,21.8,10.4,,,,0.0,bom_daily,0.5260869565217391,,1.7869565217391306,ALBURY,83.2,True
2024-04-20,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9350.0,8596.0,754.0,0,0,14.0,22.8,5.2,,,,0.0,bom_daily,0.6608695652173914,,1.7086956521739132,ALBURY,83.2,True
2024-04-21,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,7944.0,7348.0,596.0,0,0,14.25,24.0,4.5,,,,0.0,bom_daily,0.7434782608695653,,1.547826086956522,ALBURY,83.2,True
2024-04-22,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9945.0,8810.0,1135.0,0,0,15.15,24.9,5.4,,,,0.0,bom_daily,1.0695652173913044,,1.9217391304347828,ALBURY,83.2,True
2024-04-23,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,9099.0,8042.0,1057.0,0,0,17.35,27.2,7.5,,,,0.0,bom_daily,0.8391304347826087,,1.9869565217391305,ALBURY,83.2,True
2024-04-24,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,10868.0,9547.0,1321.0,0,0,13.7,19.0,8.4,,,,0.0,bom_daily,0.1956521739130435,,2.3043478260869565,ALBURY,83.2,True
2024-04-25,MUB001,MUB001 - Melbourne Street,-36.003071,146.003235,Mulwala,Corowa,4594.0,4224.0,370.0,1,0,12.05,19.9,4.2,,,,0.0,bom_daily,0.6043478260869566,,1.5086956521739132,ALBURY,83.2,True
